id, temp, hum, ph, nitrate
spruce, 0.0;0.3, 0.3;0.7, 0.0;0.4, 0.3;0.7
bush, 0.3;0.8, 0.0;0.5, 0.3;0.7, 0.0;0.6
grass, 0.2;0.8, 0.3;0.8, 0.3;0.7, 0.0;0.3
birch, 0.3;0.7, 0.3;0.7, 0.3;0.7, 0.2;0.6
oak, 0.3;0.7, 0.3;0.7, 0.3;0.7, 0.4;0.8
lavander, 0.3;0.7, 0.3;0.7, 0.7;1.0, 0.0;0.4
lily, 0.3;0.7, 0.3;0.7, 0.5;0.8, 0.0;0.4
chestnut, 0.3;0.7, 0.3;0.7, 0.7;0.9, 0.4;0.8
cypress, 0.4;0.8, 0.3;0.7, 0.1;0.3, 0.4;0.8
sequoia, 0.4;0.8, 0.4;0.8, 0.1;0.3, 0.7;1.0
ironwood, 0.5;0.8, 0.4;0.8, 0.6;0.9, 0.6;1.0
baobab, 0.7;1.0, 0.1;0.3, 0.3;0.7, 0.7;1.0
cactus, 0.8;1.0, 0.0;0.2, 0.3;0.7, 0.2;0.4
acacia, 0.7;1.0, 0.3;0.7, 0.3;0.7, 0.3;0.7
palm, 0.7;1.0, 0.8;1.0, 0.3;0.7, 0.3;0.7
bamboo, 0.7;1.0, 0.6;1.0, 0.3;0.7, 0.7;1.0